3841,1.44,233.52,0.11,1.32,56.78
3857,1.01,1068.76,0.73,0.97,52.61
3873,1.06,1210.85,1.11,0.97,54.76
3889,0.58,786.26,2.38,0.58,49.97
3905,0.98,1610.8,0.88,0.78,49.66
3921,0.78,1184.95,1.08,0.89,51.53
3937,0.9,1864.25,0.83,0.48,50.42
4097,0.92,1346.67,0.03,0.66,51.69
4113,0.92,860.38,1.54,0.97,52.19
4129,1.07,798.29,0.09,1.35,53.44
4145,0.93,1762.87,1.33,0.66,48.14
4161,1.1,597.94,0.1,1.89,52.9
4193,0.85,1535.07,0.64,0.54,52.46
4353,0.81,1011.77,1.55,0.81,52.6
4369,0.96,328.24,1.89,0.94,56.07
4385,0.89,1270.33,1.19,0.88,52.6
4401,1.42,352.17,1.27,1.41,59.21
4417,1,487.15,1.23,0.89,53.5
4433,0.87,1604.13,1.02,0.69,50.86
4449,1.06,378.51,0.73,1.07,53.91
4609,1.57,269.68,1.19,1.63,59.05
4625,1.05,432.25,0.15,1.62,55.13
4641,0.97,384.14,0.12,1.44,53.8
4657,1.03,494.15,1.45,1.08,53.77
4673,1.09,961.32,0.09,1.42,53.15
4689,0.94,740.41,0.74,1.07,53.03
4705,1.17,345.7,0.84,0.89,56.3
4865,1.22,619.79,0.1,1.53,55.75
4881,1.14,271.37,1.73,1.03,57.43
4897,1.34,302.61,1.46,1.11,57.22
4913,0.59,433.93,2.39,0.57,51.55
4929,0.7,840.62,2.22,0.59,50.73
4945,0.83,325.57,0.8,1.2,54.54
4961,0.94,1390.21,0.86,0.73,54.53
5121,1.71,291.76,0.42,1.43,58.53
5137,0.84,1227.7,0.96,0.83,51.04
5153,0.74,260.36,2.26,0.84,55.44
5169,0.95,687.24,1.53,0.96,52.85
5185,0.62,613.95,1.96,0.62,51.12
5201,1.76,308.33,1.41,1.53,59.41
5217,1.08,1235.09,1.07,0.78,56.45
5377,0.94,1339.67,1.05,0.77,52.37
5393,0.58,365.9,2.34,0.62,52.96
5409,0.9,421.86,2.05,0.97,55.37
5425,0.86,1771.78,1.32,0.63,48.35
5457,0.97,909.31,1.69,1.04,52.99
5473,1.2,961.79,0.9,0.75,55.51
5633,1.1,1016.01,0.08,1.25,53.76
5649,1.09,640.53,0.11,1.4,53.4
5665,1.42,251.53,1.59,1.38,58.15
5697,0.96,1421.89,1.3,0.79,49.46
